transaction_type,transaction_amount,transaction_date,transaction_note,category,subcategory
Expense,761.74,2021-06-03 21:27:32.494381,Transaction for Clothing,Shopping,Clothing
Expense,892.58,2020-05-15 21:27:32.494381,Transaction for Alimony,Family,Alimony
Expense,675.44,2022-08-16 21:27:32.494381,Transaction for Bonds,Investment,Bonds
Income,53.99,2019-03-03 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,96.48,2022-02-26 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Income,84.49,2020-12-14 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,888.89,2019-07-28 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,875.73,2019-07-20 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,185.05,2023-01-20 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,441.18,2021-02-28 21:27:32.494381,Transaction for Tuition,Education,Tuition
Income,150.77,2020-06-03 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,799.65,2021-05-25 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Expense,259.5,2022-04-26 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Income,494.41,2022-04-21 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,532.47,2023-11-04 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,606.14,2019-02-22 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,985.7,2020-07-24 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,910.41,2023-12-13 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Expense,412.54,2024-02-09 21:27:32.494381,Transaction for Fuel,Transportation,Fuel
Expense,309.57,2022-11-19 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Income,877.22,2019-08-12 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,650.34,2022-08-09 21:27:32.494381,Transaction for Electronics,Shopping,Electronics
Expense,339.42,2021-05-05 21:27:32.494381,Transaction for Health Insurance,Insurance,Health Insurance
Expense,690.19,2020-01-29 21:27:32.494381,Transaction for Supplies,Education,Supplies
Expense,402.92,2022-01-05 21:27:32.494381,Transaction for Bonds,Investment,Bonds
Income,346.43,2020-02-03 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,539.25,2019-07-17 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,292.1,2021-07-20 21:27:32.494381,Transaction for Groceries,Food and Beverage,Groceries
Income,168.17,2019-04-10 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,887.92,2020-07-23 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,803.18,2019-05-11 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,852.76,2024-01-28 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,379.16,2022-07-26 21:27:32.494381,Transaction for Groceries,Food and Beverage,Groceries
Income,724.89,2021-10-05 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,426.27,2019-06-19 21:27:32.494381,Transaction for Movies,Entertainment,Movies
Expense,725.32,2019-05-11 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Income,801.67,2019-06-24 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,52.88,2023-07-15 21:27:32.494381,Transaction for Home Goods,Shopping,Home Goods
Income,141.56,2023-07-21 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,909.59,2022-04-03 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,243.18,2023-10-03 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Income,225.99,2023-04-13 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,343.06,2019-11-21 21:27:32.494381,Transaction for Electronics,Shopping,Electronics
Income,638.69,2020-10-15 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,472.78,2021-08-06 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,988.95,2023-07-11 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Income,92.18,2020-04-19 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,225.59,2020-02-19 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Income,587.55,2021-06-15 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Expense,840.78,2019-05-21 21:27:32.494381,Transaction for Online Payment,Outgoing Transfer,Online Payment
Expense,197.8,2019-03-21 21:27:32.494381,Transaction for Phone,Bill & Utilities,Phone
Expense,336.63,2023-08-29 21:27:32.494381,Transaction for Child Support,Family,Child Support
Expense,792.42,2023-11-30 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Income,104.9,2021-06-27 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,750.73,2020-11-03 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,79.32,2022-04-22 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,468.36,2019-09-04 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,969.82,2023-05-01 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,866.44,2021-08-19 21:27:32.494381,Transaction for Groceries,Food and Beverage,Groceries
Income,869.09,2023-09-12 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,870.28,2022-10-08 21:27:32.494381,Transaction for Movies,Entertainment,Movies
Income,717.42,2022-01-27 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,513.33,2023-06-24 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,285.93,2022-09-06 21:27:32.494381,Transaction for Medical Expenses,Health & Fitness,Medical Expenses
Income,790.09,2023-07-26 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Expense,175.99,2023-03-11 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Expense,602.69,2022-03-27 21:27:32.494381,Transaction for Events,Entertainment,Events
Expense,895.19,2022-02-15 21:27:32.494381,Transaction for Home Insurance,Insurance,Home Insurance
Income,619.51,2023-05-02 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,345.41,2021-02-24 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,11.04,2022-05-22 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Expense,337.67,2020-04-04 21:27:32.494381,Transaction for Gym Membership,Health & Fitness,Gym Membership
Expense,153.82,2021-02-10 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Income,446.25,2023-06-02 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,703.43,2021-08-31 21:27:32.494381,Transaction for Internet,Bill & Utilities,Internet
Expense,836.77,2021-06-07 21:27:32.494381,Transaction for Fuel,Transportation,Fuel
Expense,724.61,2021-07-19 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Income,753.92,2021-11-20 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Expense,870.32,2021-11-27 21:27:32.494381,Transaction for Vehicle Maintenance,Transportation,Vehicle Maintenance
Expense,840.34,2022-05-22 21:27:32.494381,Transaction for Mutual Funds,Investment,Mutual Funds
Expense,13.39,2022-04-09 21:27:32.494381,Transaction for Concerts,Entertainment,Concerts
Expense,102.1,2022-10-07 21:27:32.494381,Transaction for Concerts,Entertainment,Concerts
Expense,950.44,2021-09-16 21:27:32.494381,Transaction for Groceries,Food and Beverage,Groceries
Expense,11.05,2022-03-30 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Expense,861.17,2020-12-19 21:27:32.494381,Transaction for Electronics,Shopping,Electronics
Income,948.01,2020-02-29 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,293.8,2020-01-05 21:27:32.494381,Transaction for Books,Education,Books
Expense,903.54,2020-08-18 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
Income,406.64,2022-02-26 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,19.13,2022-08-17 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,666.31,2020-08-03 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,919.01,2023-08-09 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Income,476.11,2021-04-05 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,820.64,2019-08-21 21:27:32.494381,Transaction for Home Goods,Shopping,Home Goods
Expense,500.4,2019-06-10 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Income,775.81,2021-03-07 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,726.44,2023-03-10 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,292.21,2023-08-21 21:27:32.494381,Transaction for Electronics,Shopping,Electronics
Income,885.37,2023-11-01 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,103.3,2021-10-12 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Expense,902.58,2020-09-19 21:27:32.494381,Transaction for Water,Bill & Utilities,Water
Income,84.26,2021-06-29 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,491.0,2023-08-06 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Expense,815.21,2019-07-03 21:27:32.494381,Transaction for Home Insurance,Insurance,Home Insurance
Expense,442.92,2020-06-08 21:27:32.494381,Transaction for Child Support,Family,Child Support
Income,704.01,2021-12-25 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,967.69,2020-09-07 21:27:32.494381,Transaction for Books,Education,Books
Income,356.69,2023-04-20 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,521.12,2019-09-20 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,225.2,2022-03-28 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,890.1,2019-09-02 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,66.16,2022-01-03 21:27:32.494381,Transaction for Mutual Funds,Investment,Mutual Funds
Income,769.27,2021-05-29 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,932.4,2019-11-11 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Expense,122.05,2020-05-13 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Expense,692.27,2019-06-22 21:27:32.494381,Transaction for Books,Education,Books
Expense,17.66,2020-04-21 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Income,135.98,2022-05-22 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,782.98,2020-10-07 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,935.8,2022-09-03 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,506.95,2021-09-24 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,271.12,2023-06-05 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Income,361.52,2019-05-27 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,478.96,2023-01-26 21:27:32.494381,Transaction for Alimony,Family,Alimony
Income,434.97,2022-07-21 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,458.89,2019-03-01 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,625.47,2022-04-20 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Income,951.37,2023-09-23 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,483.38,2022-06-08 21:27:32.494381,Transaction for Online Payment,Outgoing Transfer,Online Payment
Income,223.57,2023-06-26 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,83.33,2022-06-19 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,802.05,2020-07-03 21:27:32.494381,Transaction for Vehicle Maintenance,Transportation,Vehicle Maintenance
Expense,167.45,2020-03-06 21:27:32.494381,Transaction for Concerts,Entertainment,Concerts
Income,51.11,2023-01-10 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,277.16,2019-04-14 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,931.84,2023-08-19 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,181.62,2020-07-12 21:27:32.494381,Transaction for Mutual Funds,Investment,Mutual Funds
Income,298.88,2023-11-19 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,536.68,2022-03-17 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,492.62,2020-09-08 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,195.91,2019-03-05 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,389.68,2019-10-25 21:27:32.494381,Transaction for Electricity,Bill & Utilities,Electricity
Expense,512.92,2020-06-25 21:27:32.494381,Transaction for Groceries,Food and Beverage,Groceries
Expense,993.48,2020-03-06 21:27:32.494381,Transaction for Health Insurance,Insurance,Health Insurance
Income,758.58,2021-04-17 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,715.16,2020-02-28 21:27:32.494381,Transaction for Electricity,Bill & Utilities,Electricity
Expense,331.95,2020-11-17 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
Expense,450.74,2023-12-12 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Expense,231.01,2023-01-31 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Income,697.81,2023-09-11 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,708.55,2019-05-25 21:27:32.494381,Transaction for Clothing,Shopping,Clothing
Expense,687.37,2022-10-08 21:27:32.494381,Transaction for Online Payment,Outgoing Transfer,Online Payment
Income,657.18,2019-06-20 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Income,584.31,2023-09-16 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,525.44,2023-12-19 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,120.38,2021-11-06 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,781.52,2023-07-05 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,543.76,2022-10-06 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,590.66,2022-03-06 21:27:32.494381,Transaction for Child Support,Family,Child Support
Expense,805.74,2019-08-03 21:27:32.494381,Transaction for Fuel,Transportation,Fuel
Income,803.0,2022-12-25 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,557.16,2021-07-15 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,144.99,2021-12-03 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,922.09,2019-02-10 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Expense,855.61,2019-11-18 21:27:32.494381,Transaction for Electronics,Shopping,Electronics
Expense,387.51,2019-07-17 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Income,265.36,2024-02-06 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,399.06,2019-11-24 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Expense,62.29,2023-06-14 21:27:32.494381,Transaction for Groceries,Food and Beverage,Groceries
Income,924.84,2019-02-25 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,264.34,2023-06-02 21:27:32.494381,Transaction for Medical Expenses,Health & Fitness,Medical Expenses
Expense,539.38,2019-09-30 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Income,811.12,2021-12-13 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,378.42,2020-01-09 21:27:32.494381,Transaction for Supplies,Education,Supplies
Income,691.77,2019-05-09 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
